用例编号,所属产品,所属模块,用例标题,前置条件,步骤,预期,结果,由谁创建,创建日期,修改日期
11339,WordPress(#13),探索式测试-杨天莹(#362),（卖点测试）探索写文章-编辑-预览-发布的功能,进入wordpress首页,"1. 鼠标滑到顶部“新建”链接
2. 点击文章
3. 标题输入“罗汉果的妙用”，内容输入“罗汉果是……”
4. 点击右侧“预览”按钮
5. 点击“后退”箭头
6. 点击右侧“发布”按钮
","1. 出现隐藏下拉框
2. 出现文章编辑界面
3. 输入成功
4. 出现预览界面
5. 出现上一步编辑界面
6. 发布成功
",通过,杨天莹,2018/12/12,0000-00-00
11331,WordPress(#13),探索式测试-卢丹琦(#360),运用取消测试法对所有文章页面进行测试,已存在“冬日告白”文章,"1. 在搜索框搜索“冬日告白”，点击“搜索文章”后立刻点击返回按钮
2. 鼠标滑到标题上，点击编辑后立刻点击返回按钮
3. 鼠标滑到标题上，点击快速编辑后立刻点击返回按钮
4. 鼠标滑到标题上，点击经典编辑器后立刻点击返回按钮
5. 鼠标滑到标题上，点击移至回收站后立刻点击返回按钮
6. 鼠标滑到标题上，点击查看后立刻点击返回按钮
7. 执行批量操作的编辑，点击“应用”按钮后立刻点击返回按钮
8. 执行批量操作的移至回收站，点击“应用”按钮后立刻点击返回按钮
9. 在执行日期筛选操作点击“筛选”按钮后立刻点击返回按钮
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
",失败,卢丹琦,2018/12/12,2018/12/14
11329,WordPress(#13),探索式测试-岳哲伟(#364),（懒汉测试法）测试设置中所有的默认值是否可行,成功登录，进入设置页面,"1. 将设置中的常规、撰写、阅读、讨论、媒体，需要填写的全部删除保存
","1. 
",通过,岳哲伟,2018/12/12,0000-00-00
11318,WordPress(#13),探索式测试-卢丹琦(#360),运用超模测试法对所有文章页面进行测试,已存在文章“冬日告白”,"1. 安装插件“Gutenberg”后所有文章标题“冬日告白”后就会出现此英文单词，显得喧宾夺主
2. “批量操作”下拉菜单和“应用”按钮在同一页面作为同一功能出现了两次，比较冗余
","1. 
2. 
",通过,卢丹琦,2018/12/12,2018/12/12
11317,WordPress(#13),探索式测试-史素佳(#359),（出租车测试法）验证发布文章的场景,,"1. 见图片
","1. 
",通过,史素佳,2018/12/12,0000-00-00
11315,WordPress(#13),探索式测试-卢丹琦(#360),运用通宵测试法对所有文章页面进行测试,已存在文章“冬日告白”,"1. 把文章“冬日告白”移至回收站，再点击撤销，重复此操作二十次
2. 查看文章“冬日告白”，再点击返回，重复此操作二十次
3. 点击文章“冬日告白”的作者，再点击返回，重复此操作二十次
4. 点击文章“冬日告白”的分类目录，再点击返回，重复此操作二十次
5. 点击“评论”上方排序按钮，重复此操作二十次
6. 点击“日期”上方排序按钮，重复此操作二十次
","1. 
2. 
3. 
4. 
5. 
6. 
",通过,卢丹琦,2018/12/12,0000-00-00
11313,WordPress(#13),探索式测试-杨天莹(#362),（卖点测试）探索浏览-评论-搜索文章功能,进入wordpress首页,"1. 点击近期文章中的“世界，您好”链接
2. 在评论框中输入“Hello”并发表
3. 在搜索框中输入“世界”并搜索
","1. 进入内容界面
2. 发表成功
3. 出现标题包含“世界”的文章
",通过,杨天莹,2018/12/12,0000-00-00
11302,WordPress(#13),探索式测试-刘江(#365),（取消测试法）插件的安装,登录成功，进入插件模块，联网条件下,"1. 点击进入安装插件页面，随机选择一个插件，点击现在安装，然后随机点击另外一个页面
","1. 
",阻塞,刘江,2018/12/12,0000-00-00
11299,WordPress(#13),探索式测试-杨天莹(#362),（卖点测试）探索用户常规登录,进入登录界面,"1. 用户名输入yty
2. 密码输入12345678
3. 点击登录
","1. 输入成功
2. 输入成功
3. 登录成功
",通过,杨天莹,2018/12/12,0000-00-00
11258,WordPress(#13),探索式测试-刘江(#365),（卖点测试法）测试插件的搜索,登录成功，进入插件模块，联网条件下,"1. 随意输入一个插件要实现的功能，回车搜索
","1. 
",通过,刘江,2018/12/12,2018/12/12
11254,WordPress(#13),探索式测试-卢丹琦(#360),运用指南测试法对所有文章页面进行测试,列表中存在文章“冬日告白”和草稿“冬日告白”,"1. 单击文章“冬日告白”前的复选框
2. 鼠标滑过草稿“冬日告白”，点击“编辑”，点击右上角“发布”按钮
3. 通过鼠标悬停在文章上，获得其ID
4. 查看页面是否有“作者”，单击作者链接
5. 查看页面是否有“类别”，单击每个类别链接
6. 查看页面是否有“标签”，单击每个标记链接
7. 查看页面是否有“评论气泡”
8. 查看页面是否有“日期”
9. 单击“屏幕选项”选项卡
10. 在表格右上方搜索文章“冬日告白”，单击“搜索帖子”按钮
11. 选择“显示所有日期”
12. 选择“查看所有类别”
13. 实现“批量操作”中的各种内容
14. 鼠标滑过文章，点击“编辑”
15. 鼠标滑过文章，点击“经典编辑器”
16. 鼠标滑过文章，点击“快速编辑”
17. 鼠标滑过文章，点击“移至回收站”
18. 鼠标滑过文章，点击“查看”
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 
11. 
12. 
13. 
14. 
15. 
16. 
17. 
18. 
",通过,卢丹琦,2018/12/12,2018/12/12
11251,WordPress(#13),探索式测试-岳哲伟(#364),（取消测试法）设置中常规中设置的保存与取消,注册用户后，登录，进入设置中常规设置的常规选项界面,"1. 1.设置站点标题Upup，
2.副标题wordpress，Wordpress
3.地址：http://localhost:8032/wordpress
4.站点地址：http://localhost:8032/wordpress
5.电子邮件地址：1084170857@qq.com
6.点击保存更改
2. 将第一步中设置的内容全部删除，置空，点击保存更改
","1. 设置已保存，可以正常工作
2. 提示错误
1.看起来您输入的电子邮件地址无效。请输入正确的电子邮件地址。
2.您输入的WordPress地址可能有误。请输入一个正确的URL。
3.您输入的站点地址可能有误。请输入正确的URL。
",通过,岳哲伟,2018/12/12,0000-00-00
11247,WordPress(#13),探索式测试-史素佳(#359),（指南测试法）验证删除单个标签的功能,,"1. 将鼠标光标悬停在标记行上会显示该标记行中“名称”列下的“编辑”，“快速编辑”和“删除”选项。单击标记名称也将启动编辑操作——点击删除
","1. 
",通过,史素佳,2018/12/12,0000-00-00
11240,WordPress(#13),探索式测试-史素佳(#359),（指南测试法）验证添加标签的功能,,"1. 点击文章——点击标签
2. 输入合法的标签名和别名——点击添加新标签
","1. 页面跳转到标签界面
2. 
",通过,史素佳,2018/12/12,0000-00-00
11221,WordPress(#13),探索式测试-史素佳(#359),（指南测试法）验证删除用户功能,,"1. 点击两个用户左侧的复选框
2. 将批量操作选择为删除
3. 点击应用
4. 点击确认删除
","1. 复选框被选中
2. 
3. 显示要删除的用户列表
显示如何处理该用户下的所有内容
4. 显示提示信息：用户已删除。
",通过,史素佳,2018/12/12,2018/12/12
11215,WordPress(#13),探索式测试-刘江(#365),（卖点测试法）页面的发布,登录成功，进入页面模块新建页面，媒体库中有图片音频视频文件,"1. 输入标题：这是一个页面
2. 输入内容：测试页面
3. 点击添加媒体，选择一张图片，点击插入至页面
4. 点击添加媒体，选择一个音频文件，点击插入至页面
5. 点击添加媒体，选择一个视频文件，点击插入至页面
6. 点击发布
","1. 
2. 
3. 该图片插入至页面内
4. 该音频文件以播放框的形式出现在页面内，点击播放按钮，可以播放该音频
5. 该视频文件以播放框的形式出现在页面内，点击播放按钮，可以播放该视频
6. 提示页面已发布，可以查看页面
",通过,刘江,2018/12/12,0000-00-00
11192,WordPress(#13),探索式测试-史素佳(#359),（指南测试法）验证添加用户的功能,已登录，用户具有用户权限,"1. 点击用户——点击添加用户
2. 输入用户名
3. 输入密码
4. 输入名字
5. 输入姓氏
6. 在网站文本框中输入新用户网站URL
7. 输入密码
8. 输入确认密码
9. 点击使用弱密码
10. 点击向新用户发送有关账户详情的电子邮件
11. 点击添加用户
","1. 页面跳转到切换
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 
11. 页面跳转至所有用户界面并显示提示信息：新用户已创建。编辑用户。邮箱为lovelysujia@126.com的用户默认将收到一封电子邮件，
",失败,史素佳,2018/12/12,2018/12/12
11167,WordPress(#13),用户模块(#279),测试错误添加用户,登录成功，进入用户模块添加用户界面,"1. 输入一个注册过的用户名，如admin，输入未注册过的正确的的邮箱，点击添加用户
2. 输入一个未注册过的用户名，如admin1，输入注册过的正确的邮箱，如2572707156@qq.com ,点击添加用户
3. 输入汉字用户名，如测试，输入未注册过的正确的邮箱，点击添加用户
4. 输入特殊字符用户名，如@#￥，输入未注册过的正确的邮箱，点击添加用户
5. 输入一个注册过的用户名，如admin2，输入错误邮箱如，2378148712@QQ.com;点击添加用户
","1. 添加失败，提示用户名已注册过
2. 添加失败，提示该邮箱已被注册过
3. 添加失败，提示此用户名包含无效字符，请输入有效的用户名。
4. 添加失败，此用户名包含无效字符，请输入有效的用户名。
5. 添加失败，电子邮件地址不正确。
",通过,刘江,2018/12/11,0000-00-00
11163,WordPress(#13),用户模块(#279),测试正常添加用户功能,登录成功，进入用户模块添加用户界面,"1. 输入符合规范的用户名例如liujiang
2. 输入符合规范的电子邮件例如2572345@qq.com
3. 点击添加用户
","1. 
2. 
3. 添加用户成功
",通过,刘江,2018/12/11,0000-00-00
11162,WordPress(#13),媒体(#287),通过“媒体库”下“添加”页面对媒体进行添加,用户登录且处于媒体栏下“添加”界面，点击“选择文件”按钮,"1. 选择文件大小小于32 MB的文件
1.1. 选择后缀名为.jpg的文件
1.2. 选择后缀名为.png的文件
1.3. 选择后缀名为.txt的文件
1.4. 选择后缀名为.mp3的文件
1.5. 选择后缀名为.mp4的文件
1.6. 选择后缀名为.html的文件
2. 选择文件大小大于32 MB的文件
2.1. 选择后缀名为.jpg的文件
2.2. 选择后缀名为.png的文件
2.3. 选择后缀名为.txt的文件
2.4. 选择后缀名为.mp3的文件
2.5. 选择后缀名为.mp4的文件
2.6. 选择后缀名为.html的文件
","1. 
1.1. 添加成功,显示在媒体库中
1.2. 添加成功,显示在媒体库中
1.3. 添加成功,显示在媒体库中
1.4. 提示：无法将上传的文件移动至wp-content/uploads/2018/12
1.5. 添加成功,显示在媒体库中
1.6. 添加成功,显示在媒体库中
2. 
2.1. 提示：xxx（文件名）超过了站点的最大上传限制。
2.2. 提示：xxx（文件名）超过了站点的最大上传限制。
2.3. 提示：xxx（文件名）超过了站点的最大上传限制。
2.4. 提示：xxx（文件名）超过了站点的最大上传限制。
2.5. 提示：xxx（文件名）超过了站点的最大上传限制。
2.6. 提示：xxx（文件名）超过了站点的最大上传限制。
",通过,沈梦琪,2018/12/11,0000-00-00
11082,WordPress(#13),更改设置模块(#295),“常规”设置的异常设置,登录且处于“Setting”页面,"1. 站点标题为空，点击保存更改
2. 副标题为空，点击保存更改
3. WordPress地址（URL）为空，点击保存更改
4. 站点地址（URL）为空，点击保存更改
5. 电子邮件地址为空，点击保存更改
6. 更改电子邮箱地址为@163.com，点击保存更改
","1. 提示：设置已保存
2. 提示：设置已保存
3. 提示：您输入的WordPress地址可能有误。请输入一个正确的URL。
4. 提示：您输入的站点地址可能有误。请输入正确的URL。
5. 提示：看起来您输入的电子邮件地址无效。请输入正确的电子邮件地址。
电子邮箱地址自动填充为更改前的地址。
6. 提示：看起来您输入的电子邮件地址无效。请输入正确的电子邮件地址。
电子邮箱地址自动填充为更改前的地址。
",通过,沈梦琪,2018/12/5,2018/12/11
11081,WordPress(#13),用户登录模块(#240),用户名密码忘记如何找回,进入登录界面,"1. 用户名输入yty
2. 点击忘记密码链接
3. 输入用户名yty
4. 点击获取密码
","1. 输入成功
2. 跳转到获取新密码界面
3. 输入成功
4. 给邮箱发送信息
",失败,杨天莹,2018/12/5,0000-00-00
11074,WordPress(#13),用户登录模块(#240),用户名未注册能否登录成功,进入登录界面,"1. 用户名输入aaaaa
2. 密码输入123456678
3. 点击“登录”按钮
","1. 输入成功
2. 输入成功
3. 提示无效用户名
",通过,杨天莹,2018/12/5,0000-00-00
11011,WordPress(#13),文章模块(#273),测试添加新标签功能,登录成功，进入文章模块标签界面,"1. 输入名称test1，输入别名为测试，输入图像描述test，点击添加新标签
2. 输入名称test2，输入别名为测试，不输入图像一栏描述，点击添加新标签
3. 名称一栏为空，输入别名为测试，输入图像描述test，点击添加新标签
4. 名称一栏输入空格，输入别名为测试，输入图像描述test，点击添加新标签
","1. 添加新标签成功
2. 添加新标签成功
3. 提示项目需要一个名字
4. 提示项目需要一个名字
",通过,刘江,2018/12/5,2018/12/11
11007,WordPress(#13),文章模块(#273),测试添加分类目录的功能,登录成功，进入文章模块分类页面,"1. 输入名称test，输入别名为测试，随机选择一个父级目录，输入图像描述test，点击添加新目录分类
2. 输入名称test1，不输入别名，不选择一个父级目录，不输入图像描述，点击添加新目录分类
3. 输入名称为空，输入别名为测试，随机选择一个父级目录，输入图像描述test，点击添加新目录分类
4. 输入名称一栏输入空格，输入别名为测试，随机选择一个父级目录，输入图像描述test，点击添加新目录分类
","1. 添加成功
2. 添加成功
3. 添加失败，提示项目需要一个名字。
4. 添加失败，提示项目需要一个名字。
",通过,刘江,2018/12/5,2018/12/11
11004,WordPress(#13),文章模块(#273),测试在断网的情况能否对草稿进行创建编辑发布预览,登录成功，进入写文章页面，断开网络,"1. 进入写文章界面，输入标题为test，输入内容为test，选择一张特色照片，保存草稿
2. 随机选择一个草稿，点击编辑，进入编辑界面，修改草稿内容，点击保存草稿
3. 随机选择一个草稿，点击进入编辑界面，点击预览
4. 随机选择一个草稿，点击进入编辑界面，点击发布
","1. 提示文章草稿已更新，可以预览文章
2. 提示文章草稿已更新，可以预览文章
3. 跳转到草稿发布完后界面
4. 发布失败，提示无网络
",通过,刘江,2018/12/5,2018/12/11
10834,WordPress(#13),登录模块(#271),用户登录的测试,进入登录界面,"1. 输入正确的账号admin，和正确的密码admin，点击登录
2. 输入错误的账号admin1，和正确的密码admin，点击登录
3. 输入正确的账号admin，和错误的密码admin1，点击登录
4. 只输入用户名admin，点击登录
5. 只输入密码admin的登录，点击登录
","1. 登录成功
2. 登录失败
3. 登录失败
4. 登录失败，提示密码一栏为空
5. 登录失败，提示用户一栏为空
",通过,刘江,2018/12/4,2018/12/11
10796,WordPress(#13),外观(#288),操作菜单过程中网页异常,位于外观模块，菜单栏下,"1. 添加菜单过程中关闭网页
1.1. 单击创建新菜单连接
1.2. 在点击创建菜单按钮之前关闭页面
1.3. 在历史记录中打开关闭的页面
2. 编辑菜单过程中关闭网页
2.1. 选择要编辑的菜单
2.2. 点击选择
2.3. 编辑修改
2.4. 在点击保存之前关闭页面
2.5. 在历史记录中打开关闭的页面
3. 删除菜单过程中关闭网页
3.1. 选择要编辑的菜单
3.2. 点击选择
3.3. 点击删除
3.4. 在确认删除之前关闭页面
3.5. 在历史记录中打开关闭的页面
4. 添加菜单过程中刷新网页
4.1. 单击创建新菜单连接
4.2. 在点击创建菜单按钮之前刷新页面
5. 编辑菜单过程中刷新网页
5.1. 选择要编辑的菜单
5.2. 点击选择
5.3. 编辑修改
5.4. 在点击保存之前刷新页面
6. 删除菜单过程中刷新网页
6.1. 选择要编辑的菜单
6.2. 点击选择
6.3. 点击删除
6.4. 在确认删除之前刷新页面
","1. 
1.1. 
1.2. 页面关闭
1.3. 页面更改保留，菜单未保存
2. 
2.1. 
2.2. 
2.3. 
2.4. 页面关闭
2.5. 页面更改保留，菜单未保存
3. 
3.1. 
3.2. 
3.3. 弹出确认删除弹框
3.4. 页面关闭
3.5. 页面更改保留，菜单未保存
4. 
4.1. 
4.2. 页面刷新，更改未保存
5. 
5.1. 
5.2. 
5.3. 
5.4. 页面更改未保存
6. 
6.1. 
6.2. 
6.3. 弹出确认删除弹框
6.4. 页面未删除
",通过,沈梦琪,2018/12/4,2018/12/4
10776,WordPress(#13),外观(#288),主题到添加主题页面的跳转,页面位于外观模块，主题栏下,"1. 添加按钮跳转
1.1. 点击添加按钮
2. 添加主题链接跳转
2.1. 点击添加主题链接
","1. 
1.1. 页面跳转至添加主题页面
2. 
2.1. 页面跳转至添加主题页面
",通过,沈梦琪,2018/12/4,0000-00-00
10749,WordPress(#13),/(#0),导航栏的不同显示效果,成功登录进入首页,"1. 将鼠标滑上导航栏个个标题
2. 鼠标点击导航栏标题
","1. 在右侧出现子菜单
2. 在标题下方出现子菜单
",通过,岳哲伟,2018/12/4,0000-00-00
10746,WordPress(#13),岳哲伟(#226),导航栏个个标题之间的状态转换,成功登录进首页页面,"1. 从首页仪表盘切换到个个标题页面
2. 在文章、页面等正在编辑中的页面进行切换
","1. 能够成功切换
2. 可以进行切换，网页提示系统可能不会保存您所做的更改。选择离开即切换，取消则不切换页面
",通过,岳哲伟,2018/12/4,0000-00-00
10741,WordPress(#13),文章(#286),编辑文章分类目录时网页异常,页面位于“文章”模块，“分类目录”栏,"1. 编辑文章目录时关闭网页，重新打开
1.1. 点击要修改文章下的“编辑”文字链接
1.2. 随意对“文章分类目录”进行修改
1.3. 在点击更新按钮之前，关闭网页
1.4. 再次打开网页
2. 编辑文章目录时刷新网页
2.1. 点击要修改文章下的“编辑”文字链接
2.2. 随意对“文章分类目录”进行修改
2.3. 在点击更新按钮之前，刷新网页
","1. 
1.1. 页面跳转至编辑分类目录页面
1.2. 
1.3. 
1.4. 分类目录未更改
2. 
2.1. 页面跳转至编辑分类目录页面
2.2. 
2.3. 页面刷新，分类目录内容恢复到未修改
",通过,沈梦琪,2018/12/4,2018/12/5
10735,WordPress(#13),文章(#286),编辑文章分类目录,位于文章模块下，分类目录栏某一分类目录的编辑界面下,"1. 正常更改分类目录的名称
1.1. 修改分类目录的名称为“测试文章test”
1.2. 点击更新按钮
2. 更改分类目录名称为空
2.1. 将分类目录的名称置为空
2.2. 点击更新按钮
3. 更改分类目录名称为空格
3.1. 将分类目录名称修改为空格
3.2. 点击更新按钮
4. 更改分类目录的别名只包含小写字母
4.1. 修改分类目录的别名为“test”
4.2. 点击更新按钮
5. 更改分类目录的别名包含连字符（-）
5.1. 修改分类目录别名为“catalog-test”
5.2. 点击更新按钮
6. 更改分类目录的别名为空
6.1. 修改分类目录的别名为空
6.2. 点击更新按钮
7. 更改分类目录的别名，含有大写字母
7.1. 修改分类目录的别名为“Catalog-test1”
7.2. 点击更新按钮
8. 更改分类目录的别名，含有中文汉字
8.1. 修改分类目录的别名“目录别名test”
8.2. 点击更新按钮
9. 更改分类目录的别名，含有特殊字符
9.1. 修改分类目录的别名“test&catalog”
9.2. 点击更新按钮
","1. 
1.1. 
1.2. 标题下方显示分类已更新
2. 
2.1. 
2.2. 标题下方显示分类标题不能为空
3. 
3.1. 
3.2. 分类名称未改变，标题下方显示分类未更新
4. 
4.1. 
4.2. 标题下方显示分类目录已更新
5. 
5.1. 
5.2. 标题下方显示分类目录已更新
6. 
6.1. 
6.2. 标题下方显示分类目录已更新
7. 
7.1. 
7.2. 标题下方显示分类目录已更新，别名自动更改为小写
8. 
8.1. 别名下方提示别名中最好不含有汉字
8.2. 题目下方显示分类目录已更新
9. 
9.1. 别名下方提示别名中不能含有除连字符（-）外的特殊字符
9.2. 标题下方显示分类目录已更新，别名自动将特殊字符删除
",通过,沈梦琪,2018/12/4,2018/12/11
10728,WordPress(#13),评论模块(#276),对评论批量操作的应用,登录成功，进入评论界面,"1. 选中一条或多条要操作的评论，选择批量操作中的驳回，点击应用
2. 选中一条或多条已驳回的评论，选择批量操作中的批准，点击应用
3. 选中一条或多条评论，选择批量操作中的标记为垃圾评论，点击应用
4. 选中一条或多条评论，选择批量操作中的移至回收站，点击应用
","1. 驳回选择的评论，将选中评论归入待审评论分类
2. 在文章下显示选中的评论，将选中评论归入已批准评论
3. 将选中的评论标记为垃圾评论，取消在文章下方显示
4. 将选中的评论移至回收站
",通过,刘江,2018/12/4,2018/12/11
10723,WordPress(#13),杨天莹(#224),能否停用插件,进入wordpress后台界面,"1. 点击左侧插件
2. 选择第一个插件点击停用
","1. 出现插件详情
2. 停用成功
",通过,杨天莹,2018/12/4,0000-00-00
10719,WordPress(#13),评论模块(#276),对评论分类的点击,登录成功，进入评论模块,"1. 点击全部
2. 点击待审
3. 点击已批准
4. 点击垃圾
5. 点击回收站
","1. 下方出现全部评论
2. 下方出现所有的待审评论
3. 下方出现所有已批准评论
4. 下方出现所有标记为垃圾评论的评论
5. 下方出现所有移至回收站的评论
",通过,刘江,2018/12/4,2018/12/11
10718,WordPress(#13),评论模块(#276),对评论模块下评论的操作,登录成功，进入评论模块,"1. 鼠标滑到要操作的评论上，点击驳回
2. 鼠标滑到要操作的评论上，点击回复
3. 鼠标滑到要操作的评论上，点击编辑
4. 鼠标滑到要操作的评论上，点击垃圾评论
5. 鼠标滑到要操作的评论上，点击移至回收站
6. 鼠标滑到要操作的评论上，点击查看文章
","1. 评论状态将变为待审核状态，待审评论加一
2. 评论下方将出现回复评论框
3. 调到编辑评论界面
4. 该评论状态变为垃圾评论，垃圾评论加一
5. 该评论移动到回收箱，回收箱加一
6. 跳转到该文章界面
",通过,刘江,2018/12/4,2018/12/4
10717,WordPress(#13),登录模块(#244),登录时用户名密码是否可以复制粘贴,在记事本中输入正确的账号admin，密码123456,"1. 复制记事本的账号密码，分别粘贴到相应的位置
","1. 账号可以复制，密码不可以复制
",失败,岳哲伟,2018/12/4,2018/12/5
10713,WordPress(#13),卢丹琦(#222),评论的驳回与批准,登录且处于“评论”界面 ,"1. 鼠标移到需要驳回的评论上，点击“驳回”
2. 鼠标移到需要批准的评论上，点击“批准”
","1. 评论闪过红色且评论左侧显示红色竖条，右边评论图片中数字变为0
2. 评论闪过红色，右边评论图片中数字变为1
",通过,卢丹琦,2018/12/3,0000-00-00
10712,WordPress(#13),卢丹琦(#222),评论的删除与撤销,登录且处于“评论”界面 ,"1. 鼠标移到需要删除的评论上，点击“移至回收站”
2. 选中需要删除的评论前的复选框，在下拉菜单选中“移至回收站”，点击“应用”
3. 用例1执行后，点击提示文字后的“撤销”超链接
4. 用例2执行后，点击提示文字后的“撤销”超链接
","1.  评论闪过红色，提示：一位WordPress评论者的评论已被移动到回收站。
2. 提示：已移动1条评论到回收站。
3. 评论删过绿色，评论被恢复。
4. 提示：1条评论已从回收站中恢复。
",通过,卢丹琦,2018/12/3,2018/12/4
10711,WordPress(#13),卢丹琦(#222),垃圾评论的报告与撤销,登录且处于“评论”界面 ,"1. 鼠标移到需要报告垃圾评论的评论上，点击“垃圾评论”
2. 勾选需要标记为垃圾评论的评论前的复选框，下拉菜单选择“标记为垃圾评论”，点击“应用”按钮
3. 用例1执行完毕后，点击提示后的“撤销”超链接
4. 用例2执行完毕后，点击提示后的“撤销”超链接
","1.  评论闪过红色，提示：一位WordPress评论者的评论已被标记为垃圾评论。
2. 提示：已标记1条评论为垃圾评论。 
3. 评论删过绿色，评论被恢复
4. 提示：已从垃圾评论中恢复1条评论。
",通过,卢丹琦,2018/12/3,2018/12/4
10710,WordPress(#13),卢丹琦(#222),编辑评论,登录且处于“评论”界面 ,"1. 鼠标移到需要编辑的评论上，点击“快速编辑”
1.1. 不进行更改，点击“更新评论”
1.2. 全选评论内容并加粗，点击“更新评论”
1.3. 选中部分评论内容并加粗，点击“更新评论”
1.4. 设置“姓名”一栏为空，点击“更新评论”
1.5. 设置“电子邮件”一栏为空，点击“更新评论”
1.6. 设置“URL”一栏为空，点击“更新评论”
2. 鼠标移到需要编辑的评论上，点击“编辑”
2.1. 不进行修改，点击“更新”按钮
2.2. 全选评论内容并加粗，点击“更新”按钮
2.3. 选中部分评论内容并加粗，点击“更新”按钮
2.4. 设置“姓名”一栏为空，点击“更新”按钮
2.5. 设置“电子邮件”一栏为空，点击“更新”按钮
2.6. 设置“URL”一栏为空，点击“更新”按钮
","1. 
1.1. 评论框闪过绿色
1.2. 评论闪过绿色，全文被加粗
1.3. 评论闪过绿色，部分文字被加粗
1.4. 评论闪过绿色，姓名处显示匿名
1.5. 评论闪过绿色，无电子邮件
1.6. 评论闪过绿色，无URL
2. 
2.1. 跳转到编辑评论界面
2.2. 跳转到评论界面，全文被加粗
2.3. 跳转到评论界面，选中部分被加粗
2.4. 跳转到评论界面，姓名处显示匿名
2.5. 跳转到评论界面，无电子邮件
2.6. 跳转到评论界面，无URL
",通过,卢丹琦,2018/12/3,2018/12/11
10461,WordPress(#13),卢丹琦(#222),回复评论,登录且处于“评论”界面,"1. 鼠标移到需要回复的评论上，点击“回复”，在评论框内输入“赞同”，点击“回复”按钮
2. 鼠标移到需要回复的评论上，点击“回复”，在评论框内不输入内容，点击“回复”按钮
","1. 评论成功
2. 提示：错误：请输入评论内容
",通过,卢丹琦,2018/12/3,2018/12/4
10446,WordPress(#13),文档类别管理模块(#258),检测是否能对站点进行固定链接设置,"1.已经成功登录，并进入仪表盘界面
2.点击菜单栏中“setting”下拉框中的“固定连接”按键
3.进入固定链接设置界面","1. 将常用设置改为“朴素”
2. 点击“保存修改”按键
","1. 选中成功
2. 保存成功；返回提示信息：固定链接结构已更新。
",失败,韦士杰,2018/12/2,2018/12/5
10445,WordPress(#13),文档类别管理模块(#258),检测是否能对站点进行媒体设置,"1.已经成功登录，并进入仪表盘界面
2.点击菜单栏中“setting”下拉框中的“媒体”按键
3.进入媒体设置界面","1. 将缩略图大小的“宽度”“高度”都改为100
2. 点击“保存更改”按键
","1. 修改成功
2. 保存成功
",通过,韦士杰,2018/12/2,0000-00-00
10444,WordPress(#13),文档类别管理模块(#258),检测是否能对站点进行讨论设置,"1.已经成功登录，并进入仪表盘界面
2.点击菜单栏中“setting”下拉框中的“讨论”按键
3.进入讨论设置界面","1. 选中“尝试通知文章中链接的博客”按键
2. 点击“保存更改”按键
","1. “尝试通知文章中链接的博客”前打√
2. 保存成功
",通过,韦士杰,2018/12/2,0000-00-00
10443,WordPress(#13),文档类别管理模块(#258), 检测是否能对站点进行常规设置,"1.已经成功登录，并进入仪表盘界面
2.点击菜单栏中“setting”下拉框中的“阅读”按键
3.进入阅读设置界面","1. 修改“博客页面至多显示”选项为“20”
2. 点击“保存更改”按键
","1. 修改成功
2. 保存成功
",通过,韦士杰,2018/12/2,0000-00-00
10442,WordPress(#13),文档类别管理模块(#258),检测是否能对站点进行撰写设置,"1.已经成功登录，并进入仪表盘界面
2.点击菜单栏中“setting”下拉框中的“撰写”按键
3.进入撰写设置界面","1. 默认文章形式改为“日志”
2. 点击“保存更改”按键
","1. 选择成功
2. 更改成功
",通过,韦士杰,2018/12/2,0000-00-00
10441,WordPress(#13),文档类别管理模块(#258),检测是否能对站点进行常规设置,"1.已经成功登录，并进入仪表盘界面
2.点击菜单栏中“setting”下拉框中的“常规”按键
3.进入常规选项界面","1. 站点标题改为“abc”
2. 点击保存更改
","1. 修改成功
2. 保存成功
",通过,韦士杰,2018/12/2,0000-00-00
10440,WordPress(#13),内容发布模块(#257),验证“编辑文章”界面中“添加区块”的“嵌入”功能,"1.已经成功登录，并进入仪表盘界面
2.点击左侧菜单栏中“文章”下拉框中的“写文章”按键，进入“编辑文章”界面
3.点击“添加文字或输入/添加内容”前的“添加区块”按键（加号按键）
4.打开“嵌入 ”下拉框","1. 点击“嵌入”下拉框的“embed”按键
2. 点击“嵌入”下拉框的“Twitter”按键
3. 点击“嵌入”下拉框的“YouTube”按键
","1. 出现“Embed URL”区域，和可以输入想要嵌入的URL链接的文本框，一个embed按键
2. 出现“Twitter URL”区域，和可以输入想要嵌入的URL链接的文本框，一个embed按键
3. 出现“YouTube URL”区域，和可以输入想要嵌入的URL链接的文本框，一个embed按键
",,韦士杰,2018/12/2,0000-00-00
